"star1","imdb_rating","meta_score"
"Michael Ealy","7.6",36
"Elena Altieri","8.3",76
"Tôru Emori","7.7",81
"Miles Teller","8.5",88
"Gerd Oswald","7.8",75
"Tom Cruise","7.7",55
"Buddy Ebsen","7.6",76
"Tippi Hedren","7.7",90
"Mohanlal","8.3",76
"Bruce Lee","7.7",83
"Joaquin Phoenix","8.1",79
"Gunnar Björnstrand","8.1",86
"Sener Sen","8.2",76
"Ken Stott","7.8",66
"Tony Curtis","8.0",100
"Otto Sander","8.0",79
"Ken Watanabe","7.9",89
"Henry Fonda","9.0",96
"Anthony Chau-Sang Wong","8.0",75
"Bee Vang","8.1",72
"John Lurie","7.8",75
"Eva Marie Saint","8.3",98
"Xolani Mali","8.1",79
"Bill Paxton","7.9",76
"Lee Van Cleef","8.8",90
"Tom Skerritt","8.4",89
"Jude Law","7.8",64
"James Caan","8.0",89
"Marcia Gay Harden","7.7",52
"You Ge","8.1",76
"Jason Schwartzman","7.9",83
"Paddy Considine","7.8",79
"Sandra Bullock","7.7",96
"James Coburn","7.9",83
"Tina Fey","8.1",83
"Barry Pepper","7.6",68
"Hugh Jackman","8.5",66
"Michael Fassbender","7.7",65
"Dorsey Wright","7.6",65
"Atsuko Tanaka","8.0",76
"Nafise Jafar-Mohammadi","8.3",77
"Marisa Tomei","7.9",80
"John Cho","7.6",71
"Mark Margolis","7.9",80
"Richard Dormer","8.0",69
"Strother Martin","8.1",92
"Yilmaz Erdogan","7.9",82
"Andrew Shim","7.7",86
"Ray Milland","8.2",75
"Adrien Brody","8.5",85
"Liv Ullmann","8.1",86
"David Hemmings","7.6",82
"Jane Greer","8.0",76
"Casey Affleck","7.6",72
"J.K. Simmons","8.0",94
"David Tomlinson","7.8",88
"Emmanuelle Seigner","8.0",92
"Jordan Nagai","8.2",88
"Jeff Bridges","7.7",70
"Paul Meurisse","8.0",76
"Ronnie Del Carmen","8.1",94
"Kim Hunter","8.0",79
"Whoopi Goldberg","7.8",78
"Tatsuya Nakadai","8.6",85
"Michael B. Jordan","7.6",82
"Ruth Hussey","7.9",96
"Chris Pine","7.6",88
"Christopher Plummer","7.8",84
"Roberta Maxwell","7.7",66
"Jennifer Connelly","8.3",68
"Joseph Cotten","8.3",100
"Ed Harris","7.7",96
"Telly Savalas","7.6",50
"Sophie Perry","7.7",72
"Jaya Bachchan","8.0",54
"Mahito Tsujimura","8.1",86
"Carroll Baker","7.6",84
"Tatsuya Gashûin","8.2",80
"Christoph Waltz","8.4",81
"Gustaf Skarsgård","7.8",61
"Toni Servillo","7.8",86
"Albert Brooks","8.3",94
"Rajit Kapoor","7.8",76
"Miriam Shor","7.7",85
"Edward Norton","7.7",47
"Melissa Leo","8.1",70
"Anna Karina","8.0",76
"Jan Pinkava","8.0",96
"Saeed Jaffrey","7.8",91
"Julianne Moore","8.0",77
"Ben Kingsley","8.0",79
"Phil Harris","7.6",65
"Carrie-Anne Moss","8.7",73
"Aidan Gillen","7.9",79
"Mary Tyler Moore","7.7",86
"Mary McDonnell","8.0",88
"Olivia Wilde","8.1",74
"Leila Hyams","7.9",80
"Joseph Calleia","7.7",76
"Terry Gilliam","8.1",77
"Steve Coogan","7.6",77
"Sanjeev Kumar","8.2",76
"Gracy Singh","8.1",76
"Rachel Weisz","7.6",53
"Paul Lukas","7.8",98
"Alberto Ammann","7.6",76
"Danny Aiello","7.7",75
"Josh Brolin","7.8",76
"Mathieu Amalric","8.0",92
"Sam Jaffe","7.7",76
"Ajay Naidu","7.7",68
"Guillaume Canet","7.6",45
"Kim Basinger","8.2",90
"Mustafa Kamel","8.3",80
"Julianne Moore","7.7",79
"Lewis Black","8.1",94
"Takuya Ishida","7.7",76
"Lorella Cravotta","8.3",69
"Kevin McCarthy","7.7",92
"Christopher Walken","7.7",47
"Caroline Goodall","8.9",94
"Albert Brooks","7.8",78
"Andrew Adote","7.7",79
"Vidya Balan","8.1",76
"Emmanuelle Riva","7.9",94
"Matthew McConaughey","8.6",74
"Franz Rogowski","7.6",77
"Donald Pleasence","7.7",87
"Tensai Okamura","7.9",61
"Mary Steenburgen","8.0",89
"Margaretha Krook","8.1",86
"Woody Allen","7.9",77
"Jack Warden","7.7",77
"Kareena Kapoor","7.9",76
"Shah Rukh Khan","8.0",50
"Josh Brolin","8.1",91
"Claire Danes","7.6",66
"Maggie Smith","7.6",64
"Suriya","8.6",76
"Cleavon Little","7.7",73
"Susanne Lothar","7.6",69
"Ewan McGregor","8.0",58
"Tom Hiddleston","7.9",74
"Zachary Levi","7.7",71
"Ed Harris","7.8",91
"Richard Gere","7.7",47
"Bruce Spence","7.6",77
"Al Pacino","9.0",90
"Thomas Mitchell","8.6",89
"Claire Rushbrook","8.0",91
"Ranbir Kapoor","7.7",76
"Deborah Kara Unger","7.6",74
"Pruitt Taylor Vince","8.1",58
"Allison Williams","7.7",85
"James Dean","7.7",89
"Gene Hackman","8.2",85
"Golshifteh Farahani","8.0",87
"Günes Sensoy","7.6",83
"Godfrey Tearle","7.6",93
"Carole Lombard","8.2",86
"Andy Serkis","7.8",58
"Michelle Williams","7.6",67
"James Stewart","8.0",95
"Michael Caine","7.8",91
"Scatman Crothers","8.4",66
"Hidetoshi Nishijima","7.8",83
"Milhem Cortaz","8.0",71
"Daisuke Ryû","8.2",96
"Larry Gates","7.7",92
"Halina Reijn","7.7",71
"George Kennedy","8.1",92
"Julianne Moore","7.8",87
"Terrence Howard","7.9",79
"Ping Lam Siu","8.1",85
"Alia Bhatt","7.8",76
"Sam Shepard","7.8",93
"Laia Costa","7.6",77
"Asaka Seto","7.7",76
"John Dall","8.0",73
"Shahid Kapoor","7.8",76
"Barry Bostwick","7.8",73
"Johnny Depp","7.6",62
"Denzel Washington","7.6",76
"Claire Bloom","7.9",77
"Gorô Naya","8.1",86
"Penelope Ann Miller","7.9",65
"Ellar Coltrane","7.9",100
"Yong Dong","7.6",70
"Katsunosuke Hori","7.7",81
"Daryl Hannah","8.0",83
"Sigourney Weaver","7.8",83
"Scott Weinger","8.0",86
"Robert Patrick","7.8",72
"Rebecca De Mornay","7.7",45
"Rosamund Pike","8.1",79
"Tabu","8.1",76
"Trevor Jack Brooks","7.8",83
"Vivien Leigh","8.1",97
"Amy Adams","8.0",90
"Susan Harrison","8.0",100
"Meg Ryan","7.6",76
"Anthony Gonzalez","8.4",81
"Gene Hackman","7.7",94
"Yôji Matsuda","8.4",76
"Del Negro","7.9",76
"John Turturro","7.7",66
"Dominique Pinon","7.6",66
"Kátia Lund","8.6",79
"Val Kilmer","7.9",59
"Elsa Lanchester","8.4",76
"Kiyoshi Kobayashi","7.7",71
"Gene Hackman","7.8",65
"Angelina Jolie","7.7",63
"Bruno Ganz","8.2",82
"Lillo Brancato","7.8",80
"Charles Bronson","7.7",74
"Sophie Marceau","8.3",68
"Tom Cruise","8.0",77
"Christopher Heyerdahl","8.0",69
"Colin Farrell","7.9",67
"Bruce Cabot","7.9",90
"Robert Downey Jr.","7.7",78
"Will Ferrell","7.7",83
"Billy Crudup","8.4",76
"Victoria Horne","7.9",76
"Nick Nolte","7.6",78
"Tony Moran","7.7",87
"Peter O'Toole","7.7",76
"Maria Grazia Cucinotta","7.7",81
"Julie Delpy","7.9",94
"Al Pacino","7.9",65
"Bruce Willis","7.6",58
"Leonardo DiCaprio","8.0",64
"Johanna ter Steege","7.7",76
"Carrie-Anne Moss","8.4",80
"Peter Stormare","8.0",61
"Marie-Josée Croze","8.0",92
"David Lee Smith","7.9",76
"Aoi Miyazaki","8.1",71
"Warren Oates","7.9",75
"Holly Hunter","8.0",90
"Yun-Fat Chow","7.8",94
"Joseph Melito","8.0",74
"Harry Dean Stanton","8.1",78
"Rich Moore","8.0",78
"Niels Arestrup","7.9",90
"Alexander Granach","7.9",76
"Dev Patel","8.0",84
"Roy Scheider","7.9",72
"Samuel L. Jackson","7.7",60
"Paul Newman","7.7",77
"Brian Tyler","7.6",65
"Raymond Massey","7.9",72
"Filip Sovagovic","7.9",84
"Giustino Durano","8.6",59
"Robert Duvall","7.6",56
"Javier Cámara","7.9",86
"Chris Cooper","7.7",83
"Dev Patel","8.0",69
"Uma Thurman","7.8",64
"Jack Oakie","8.4",76
"Buzz Kilman","7.7",66
"Zamira Saunders","7.9",76
"Woody Allen","7.7",89
"Pernilla Allwin","8.1",100
"Michael Madsen","8.3",79
"Fredric March","8.1",75
"Robert Shaw","7.7",72
"Boris Karloff","7.8",95
"Gregory Peck","8.2",88
"Robin Wright","8.0",77
"Catherine Keener","7.7",90
"Bruce Willis","8.0",74
"Robert Downey Jr.","8.4",78
"Natalya Bondarchuk","8.1",90
"Emily Mortimer","7.6",72
"Robert De Niro","8.1",86
"Merila Zare'i","8.0",87
"Leonardo DiCaprio","7.8",73
"Taraneh Alidoosti","7.8",85
